customer_id,total_revenue,total_orders,total_items,avg_line_revenue,avg_unit_price,unique_products,unique_countries,customer_tenure_days,recency_days,avg_revenue_per_order,active_days,avg_days_between_orders,revenue_per_day,orders_per_day,recency_ratio,items_per_order,future_orders,future_clv
12347,1603.68,3,956,25.0575,2.87734375,50,1,116,39,534.5600000000001,3,58.0,13.824827586206897,0.02586206896551724,0.33620689655172414,318.6666666666667,2,1519.14
12348,367.0,1,269,73.4,8.92,5,1,0,158,367.0,1,0.0,367.0,1.0,158.0,269.0,1,310.0
12352,280.66,2,127,18.71066666666667,4.8919999999999995,8,1,5,172,140.33,2,5.0,56.132000000000005,0.4,34.4,63.5,3,944.23
12353,89.0,1,20,22.25,6.074999999999999,4,1,0,114,89.0,1,0.0,89.0,1.0,114.0,20.0,0,0.0
12354,1079.4,1,530,18.610344827586207,4.5037931034482765,58,1,0,142,1079.4,1,0.0,1079.4,1.0,142.0,530.0,0,0.0
12355,459.4,1,240,35.33846153846154,4.203846153846154,13,1,0,124,459.4,1,0.0,459.4,1.0,124.0,240.0,0,0.0
12356,481.46000000000004,1,370,22.92666666666667,2.428095238095238,21,1,0,155,481.46000000000004,1,0.0,481.46000000000004,1.0,155.0,370.0,1,58.349999999999994
12358,484.86,1,100,40.405,7.719166666666666,12,1,0,60,484.86,1,0.0,484.86,1.0,60.0,100.0,1,683.2
12359,1109.32,1,356,23.60255319148936,4.914893617021277,47,1,0,99,1109.32,1,0.0,1109.32,1.0,99.0,356.0,1,2814.3
12360,1618.28,2,674,21.577066666666667,3.610133333333333,63,1,88,22,809.14,2,88.0,18.389545454545456,0.022727272727272728,0.25,337.0,1,1043.78
12362,1268.25,3,759,16.259615384615383,3.0724358974358976,70,1,105,30,422.75,3,52.5,12.07857142857143,0.02857142857142857,0.2857142857142857,253.0,6,3478.88
12363,552.0,2,408,24.0,2.3117391304347827,23,1,132,19,276.0,2,132.0,4.181818181818182,0.015151515151515152,0.14393939393939395,204.0,0,0.0
12364,623.92,1,555,18.350588235294115,2.041764705882353,34,1,0,22,623.92,1,0.0,623.92,1.0,22.0,555.0,3,689.18
12372,515.7,1,368,27.142105263157898,2.666315789473684,19,1,0,122,515.7,1,0.0,515.7,1.0,122.0,368.0,1,383.12
12375,230.3,1,87,20.936363636363637,6.1018181818181825,11,1,0,8,230.3,1,0.0,230.3,1.0,8.0,87.0,1,227.20000000000002
12378,4008.62,1,2529,18.30420091324201,2.9974429223744297,219,1,0,39,4008.62,1,0.0,4008.62,1.0,39.0,2529.0,0,0.0
12379,459.84,1,211,22.991999999999997,3.1945,20,1,0,80,459.84,1,0.0,459.84,1.0,80.0,211.0,1,392.40000000000003
12380,607.5500000000001,1,293,16.87638888888889,2.6244444444444444,36,1,0,95,607.5500000000001,1,0.0,607.5500000000001,1.0,95.0,293.0,3,2117.26
12381,1268.74,1,568,20.463548387096775,3.956774193548387,62,1,0,29,1268.74,1,0.0,1268.74,1.0,29.0,568.0,4,576.57
12383,241.60999999999999,2,97,15.100624999999999,6.255,14,1,53,94,120.80499999999999,2,53.0,4.5586792452830185,0.03773584905660377,1.7735849056603774,48.5,0,0.0
12384,292.69,1,62,20.90642857142857,7.795,14,1,0,31,292.69,1,0.0,292.69,1.0,31.0,62.0,1,292.58
12388,902.09,1,429,25.774,2.9014285714285712,35,1,0,58,902.09,1,0.0,902.09,1.0,58.0,429.0,2,1112.3200000000002
12393,421.6,1,224,24.8,2.3911764705882352,17,1,0,155,421.6,1,0.0,421.6,1.0,155.0,224.0,1,521.5
12394,381.08,1,182,18.146666666666665,3.0152380952380953,21,1,0,127,381.08,1,0.0,381.08,1.0,127.0,182.0,1,891.4
